Melyik két földrajzi pont között helyezkedik el a Szoborpark területe?,A Göröndi út és a Malom-árok közötti erdősávnál.
Milyen technológiai segítséget vehetnek igénybe a látogatók a Szoborparkban a művek megismeréséhez?,QR kódos tárlatvezetést.
Miért Pauer Gyula 'Tüntetőtábla-erdő' című alkotását távolították el politikai utasításra 1978-ban?,Aczél György látogatása előtt tüntették el a nyomait a mű politikai áthallásai miatt.
"Ki volt a Szoborpark első évének (1975) egyik legnevesebb, pécsi származású résztvevője?",Martyn Ferenc.
Hol található a nagyatádi Hadipark?,"A Széchenyi tér északi részén, a templom mögött."
Ki a nagyatádi Hadipark és a Turisztikai Központ névadója?,Radics Sándor ezredes.
Melyik nagyatádi katonai alakulat emlékét őrzi a helyi haditechnikai kiállítás?,A 69. Harckocsiezredét.
"Soroljon fel három harci eszközt, amely megtekinthető a kültéri Hadiparkban!","T-72 harckocsi, MiG-21 vadászrepülőgép és 'gulyáságyú'."
Hány darabból álló egyenruha-gyűjtemény látható a Turisztikai Központban?,Több mint 100 darabból.
Mi a neve Nagyatád leghíresebb nemzetközi sportrendezvényének?,eXtremeMan Nagyatád (hosszútávú triatlon országos bajnokság).
Milyen versenytávokat kell teljesíteni az ExtremeMan versenyzőinek?,"$3,8 \text{ km}$ úszás, $180 \text{ km}$ kerékpár és $42,2 \text{ km}$ futás."
Hol található a város 1000 fő befogadására alkalmas Sportcsarnoka?,A Szent István Parkban.
Melyik évben kapott Nagyatád Hild-érmet a városkép és a zöldterületek ápolásáért?,Kétszer is elnyerte ezt a rangos elismerést.
Hova költözik a Városi Múzeum 2025-től?,A T25 Művészeti Galéria és Közösségi Házba.
Melyik Kossuth-díjas költő emlékszobája található a T25 épületében?,Bertók Lászlóé.
Milyen különleges történelmi eseménynek állít emléket a T25-ben látható fotókiállítás?,A délszláv háború idején működő Nagyatádi Menekülttábornak.
Melyik patak hálózza be és teszi változatossá Nagyatád és környéke táját?,A Rinya-patak.
Milyen különleges fafajok találhatók a Széchenyi téri parkban?,150 éves vadgesztenyefák és tulipánfa csoportok.
Hol található a környék országos hírű vidraparkja?,Petesmalomban (Lábod térségében).
Miről nevezetes Kaszó pusztája a természetjárók körében?,Az erdei kisvasútról és a Baláta-tó őslápjáról.
Melyik Somogy megyei településen található a gyógyító vizű szent kút és a ferences kolostor?,Segesden.
Milyen látnivaló várja a látogatókat Ötvöskónyiban a Czindery-kastély parkjában?,Egy több száz éves hársfa és a Báthori-várkastély romjai.
"Melyik tó az ország egyik legtisztább vizű tava a környéken, ahol búvárkodni is lehet?",A gyékényesi bányató.
Hol torkollik a Mura a Drávába a nyugati határ mentén?,Őrtilosnál.
Mi a 'Vilma háza' és hol található?,Egy népi hagyományokat őrző bemutatóhely Somogyszobon.
Milyen halfajok találhatók a Nagyatádi Csónakázó-tóban?,"Ponty, kárász, amúr és csuka."
Melyik évben épült a Széchenyi téren álló római katolikus plébániatemplom?,Az 1770-es évek végén.
Ki készítette a Szent István királyt fiatal uralkodóként ábrázoló szobrot a Szent István parkban?,Lebó Ferenc szobrászművész.
Melyik épület adott helyet korábban a tűzoltószertárnak a Széchenyi téren?,A mai Szociális Központ épülete.
Milyen tevékenységeket kínál a látogatóknak a 63. bázis a régi laktanya területén?,"Airsoft, paintball és szabadulószobák."
Melyik híres magyar költő tanított rövid ideig a csurgói református kollégiumban?,Csokonai Vitéz Mihály.
Milyen funkciót töltött be korábban a berzencei Festetics-kastély?,Határőrlaktanyaként és pszichiátriaként is működött.
Melyik évben és milyen alkalomból avatták fel a Városi Múzeumot?,"1996-ban, a várossá nyilvánítás 25. évfordulóján."
Milyen sportágak űzhetők a Nagyatádi Városi Sportcsarnok küzdőterén?,"Kézilabda, röplabda, kosárlabda és teremlabdarúgás."
"Ki volt Mudin Imre, akiről a helyi sportcentrumot elnevezték?",Egy híres atléta (a forrás a sportcentrum nevében említi).
Milyen fafajták alkotják a környék erdeinek zömét?,"Kocsányos tölgy, cser, gyertyán, bükk és hárs."
Melyek a térség legfontosabb vadfajai?,"Gímszarvas, dám, vaddisznó és őz."
Hol található Nagyatádon az Extreme Sportpálya és a szabadtéri fittness park?,A Városi Sportcsarnokkal szemközti területen.
Melyik hónapban rendezik meg hagyományosan a Nagyatádi Szüreti Fesztivált?,Szeptemberben.
Milyen különleges élményt kínál a nagyatádi keresztút?,"Csendes, elmélyült sétát 14 stáción keresztül, patakparti környezetben."
Milyen látnivalókat kínál a Turisztikai Központ nyomdatörténeti kiállítása?,Tradicionális könyvkötő műhely emlékeit és helyi mesterségeket.
Milyen eseménnyel ünneplik minden évben a Város Napját április 25-én?,Ünnepi koncerttel és városi ünnepséggel.
Milyen speciális gyógyászati kezeléseket végeznek a fürdőben a víz mellett?,"Iszappakolás, súlyfürdő és elektroterápia."
Hány hektáros területen fekszik a Nagyatádi Csónakázó-tó?,$10 \text{ hektáron}$.
Milyen vízi sportolási lehetőség biztosított a Csónakázó-tavon?,Csónakbérlés és horgászat.
"Ki volt Hamvas János, és mi volt a szerepe a művésztelep életében?","Nagyatád tanácselnöke, aki szorgalmazta a nemzetközi művésztelep létrejöttét."
Milyen néven emlegették Nagyatádot a 18. századi horvát betelepülések idején?,'Horváthatád'.
Melyik híres festőművész képei láthatók a T25 galériában?,Többek között Ország László és Mezey Mária Magdolna alkotásai.
Milyen típusú szálláshely várja a vendégeket a gyógyfürdővel közvetlen szomszédságban?,A Castrum Termálkemping.
Melyik hotel épült fel a néhai posta épületének teljes felújításával a Széchenyi téren?,A Park Hotel.
Milyen állandó kiállítás tekinthető meg a Turisztikai Központban?,"Helyi mesterségek, nyomdatörténet és katonai egyenruhák."
Hol látható Honty Márta monumentális tűzzománc alkotása a városban?,A szakiskola főbejárati homlokzatán.
Mi a célja az ExtremeMan hitvallásának?,'Az út maga a cél' szellemiségének terjesztése.
Melyik évben ünnepelte Nagyatád várossá nyilvánításának 50. évfordulóját?,2021-ben.
Milyen népi hagyományt elevenít fel a Simongáti Leányvásár?,Hagyományőrző népi ünnepség és találkozó.
Melyik híres költő nevét viseli a nagyatádi városi könyvtár?,Bertók Lászlóét.
Milyen típusú szauna található a Termál- és Gyógyfürdőben?,Finn típusú szauna.
Milyen gyulladáscsökkentő pakolást alkalmaznak a nagyatádi gyógykezelések során?,Antiflogisztikus pakolást.
Melyik jelentős régészeti lelet került elő a berzencei várnál 2021-ben?,Számos 700 éves településtörténeti lelet.
Milyen programokat kínál a Nagyatádi Kulturális Központ?,"Színházi előadások, mozi, koncertek és ismeretterjesztő előadások."
Mit jelképez a Honfoglalás téren elhelyezett 'Elágazó utak fája' című szobor?,A honfoglalás és az államalapítás emlékét.
Milyen típusú tó a gyékényesi bányató ökológiai szempontból?,Az ős-Dráva hordalékát feldolgozó sóderbánya során keletkezett tó.
Mi a Kaszói Állami Erdei Vasút végállomása?,Szenta és Kaszó között közlekedik.
